energy,theta,cx
0.95,12.38,62.8
0.95,18.52,12.35
0.95,25.3,4.4
0.95,31.13,1.713
0.95,37.2,0.854
0.95,49.23,0.322
0.95,61.1,0.1735
0.95,72.37,0.1217
0.95,90.7,0.0921
0.95,99.28,0.0833
1.49,12.38,22.9
1.49,18.52,4.05
1.49,25.3,1.09
1.49,37.2,0.196
1.49,49.23,0.1031
1.49,61.1,0.0821
1.49,72.37,0.0764
1.49,90.7,0.0828
1.49,114.22,0.1202
1.49,132.37,0.1692
1.49,149.22,0.205
1.7,12.38,15.92
1.7,18.52,2.5
1.7,25.3,0.654
1.7,37.2,0.1461
1.7,49.23,0.1057
1.7,61.1,0.094
1.7,90.7,0.0942
1.7,114.22,0.1502
1.7,132.37,0.219
1.7,149.22,0.27
1.7,168.2,0.311
2.02,12.38,9.97
2.02,18.52,1.564
2.02,25.3,0.0496
2.02,31.13,0.291
2.02,37.2,0.271
2.02,61.1,0.1878
2.02,72.37,0.154
2.02,90.7,0.1262
2.02,104.36,0.1402
2.02,114.22,0.1795
2.02,132.37,0.279
2.02,149.22,0.372
2.02,168.2,0.443
2.22,12.38,8.12
2.22,18.52,1.405
2.22,25.3,0.6
2.22,31.13,0.441
2.22,37.2,0.398
2.22,49.23,0.331
2.22,66.54,0.238
2.22,90.7,0.1487
2.22,114.22,0.183
2.22,132.37,0.287
2.22,149.22,0.386
2.22,168.2,0.475
2.53,12.38,6.46
2.53,18.52,1.5
2.53,25.3,0.823
2.53,37.2,0.554
2.53,43.23,0.502
2.53,49.23,0.474
2.53,61.1,0.34
2.53,72.37,0.254
2.53,94.22,0.1507
2.53,114.22,0.174
2.53,132.37,0.26
2.53,149.22,0.353
2.53,150.14,0.345
2.53,160.14,0.407
2.53,168.2,0.433
3.04,12.38,5.32
3.04,18.52,1.52
3.04,25.3,0.921
3.04,31.13,0.728
3.04,43.23,0.523
3.04,55.21,0.41
3.04,72.37,0.246
3.04,94.22,0.1408
3.04,114.22,0.1265
3.04,132.37,0.171
3.04,140.14,0.195
3.04,149.22,0.232
3.04,150.14,0.226
3.04,160.14,0.273
3.04,164.59,0.28
3.04,168.2,0.281
3.58,12.38,4.33
3.58,18.52,1.348
3.58,25.3,0.834
3.58,37.2,0.554
3.58,43.23,0.481
3.58,55.21,0.36
3.58,72.37,0.224
3.58,90.7,0.139
3.58,110.14,0.0997
3.58,114.22,0.0985
3.58,120.14,0.0981
3.58,132.37,0.12
3.58,140.14,0.1428
3.58,149.22,0.1663
3.58,150.14,0.1621
3.58,160.14,0.1915
3.58,168.2,0.1935
9.48,12.2,1.1415
9.48,12.8,0.9947
9.48,15.3,0.6596
9.48,15.9,0.6294
9.48,18.4,0.5336
9.48,19,0.5086
9.48,21.5,0.4754
9.48,25.2,0.4126
9.48,27.7,0.378
9.48,31.3,0.358
9.48,33.9,0.3382
9.48,37.4,0.3076
9.48,40,0.3099
9.48,43.5,0.2804
9.48,49.5,0.2392
9.48,52,0.2322
9.48,61.3,0.1719
9.48,63.7,0.1668
9.48,72.7,0.1195
9.48,80.6,0.0822
9.48,83.8,0.0715
9.48,86.1,0.0653
9.48,94.5,0.0431
9.48,99.6,0.0322
9.48,104.7,0.0278
9.48,106.8,0.0251
9.48,111.7,0.02302
9.48,114.4,0.022
9.48,116.4,0.02302
9.48,123.8,0.0273
9.48,128.3,0.0333
9.48,132.7,0.0392
9.48,134.5,0.0423
9.48,141.2,0.0527
9.48,145.4,0.0562
9.48,149.4,0.0669
9.48,151.1,0.0686
9.48,157.3,0.0802
9.48,159,0.0809
9.48,165,0.0854
9.48,166.7,0.0867
9.48,172.6,0.922
9.48,174.2,0.0967
