energy,theta,cx
0.95,12.38,62.8
0.95,18.52,12.35
0.95,25.3,4.4
0.95,31.13,1.713
0.95,37.2,0.854
0.95,49.23,0.322
0.95,61.1,0.1735
0.95,72.37,0.1217
0.95,90.7,0.0921
0.95,99.28,0.0833
1.3016,20,0.612
1.4113,20,0.6857
1.49,12.38,22.9
1.49,18.52,4.05
1.49,25.3,1.09
1.49,37.2,0.196
1.49,49.23,0.1031
1.49,61.1,0.0821
1.49,72.37,0.0764
1.49,90.7,0.0828
1.49,114.22,0.1202
1.49,132.37,0.1692
1.49,149.22,0.205
1.5027,20,0.7253
1.6033,20,0.8103
1.6947,20,0.9577
1.7,12.38,15.92
1.7,18.52,2.5
1.7,25.3,0.654
1.7,37.2,0.1461
1.7,49.23,0.1057
1.7,61.1,0.094
1.7,90.7,0.0942
1.7,114.22,0.1502
1.7,132.37,0.219
1.7,149.22,0.27
1.7,168.2,0.311
1.8044,20,1.088
1.9049,20,1.1107
1.9963,20,1.1843
1.997,25.1,0.501
1.997,25.58,0.469
1.997,30.89,0.318
1.997,35.07,0.27
1.997,40.07,0.254
1.997,44.98,0.243
1.997,49.03,0.23
1.997,54.7,0.21
1.997,60,0.193
1.997,65,0.175
1.997,70.1,0.159
1.997,80,0.135
1.997,90,0.126
1.997,100,0.133
1.997,106.9,0.15
1.997,109.9,0.161
1.997,120.6,0.213
1.997,122.8,0.217
1.997,130.9,0.262
1.997,140.8,0.321
1.997,145,0.336
1.997,149.4,0.363
1.997,154.9,0.393
1.997,160,0.417
1.997,164.4,0.432
2.02,12.38,9.97
2.02,18.52,1.564
2.02,25.3,0.0496
2.02,31.13,0.291
2.02,37.2,0.271
2.02,61.1,0.1878
2.02,72.37,0.154
2.02,90.7,0.1262
2.02,104.36,0.1402
2.02,114.22,0.1795
2.02,132.37,0.279
2.02,149.22,0.372
2.02,168.2,0.443
2.106,20,1.2523
2.1974,20,1.241
2.22,12.38,8.12
2.22,18.52,1.405
2.22,25.3,0.6
2.22,31.13,0.441
2.22,37.2,0.398
2.22,49.23,0.331
2.22,66.54,0.238
2.22,90.7,0.1487
2.22,114.22,0.183
2.22,132.37,0.287
2.22,149.22,0.386
2.22,168.2,0.475
2.3071,20,1.2353
2.4077,20,1.224
2.4991,20,1.0993
2.53,12.38,6.46
2.53,18.52,1.5
2.53,25.3,0.823
2.53,37.2,0.554
2.53,43.23,0.502
2.53,49.23,0.474
2.53,61.1,0.34
2.53,72.37,0.254
2.53,94.22,0.1507
2.53,114.22,0.174
2.53,132.37,0.26
2.53,149.22,0.353
2.53,150.14,0.345
2.53,160.14,0.407
2.53,168.2,0.433
2.6088,20,1.054
2.7002,20,0.9973
2.8007,20,0.9463
2.8921,20,0.816
3.0018,20,0.7537
3.006,25.1,0.919
3.006,25.58,0.893
