KE,Electronic,Nuclear,Total
1.00E-03,8.75E+01,1.34E+02,2.22E+02
1.50E-03,1.09E+02,1.26E+02,2.34E+02
2.00E-03,1.27E+02,1.18E+02,2.44E+02
2.50E-03,1.43E+02,1.11E+02,2.54E+02
3.00E-03,1.57E+02,1.05E+02,2.62E+02
4.00E-03,1.84E+02,9.49E+01,2.78E+02
5.00E-03,2.07E+02,8.70E+01,2.94E+02
6.00E-03,2.28E+02,8.05E+01,3.08E+02
7.00E-03,2.48E+02,7.50E+01,3.23E+02
8.00E-03,2.66E+02,7.04E+01,3.36E+02
9.00E-03,2.83E+02,6.64E+01,3.50E+02
1.00E-02,3.00E+02,6.28E+01,3.63E+02
1.25E-02,3.38E+02,5.57E+01,3.93E+02
1.50E-02,3.72E+02,5.02E+01,4.23E+02
1.75E-02,4.04E+02,4.58E+01,4.50E+02
2.00E-02,4.34E+02,4.22E+01,4.77E+02
2.25E-02,4.63E+02,3.92E+01,5.02E+02
2.50E-02,4.89E+02,3.66E+01,5.26E+02
2.75E-02,5.15E+02,3.44E+01,5.49E+02
3.00E-02,5.40E+02,3.25E+01,5.72E+02
3.50E-02,5.86E+02,2.93E+01,6.15E+02
4.00E-02,6.29E+02,2.67E+01,6.56E+02
4.50E-02,6.70E+02,2.46E+01,6.94E+02
5.00E-02,7.08E+02,2.28E+01,7.31E+02
5.50E-02,7.45E+02,2.13E+01,7.66E+02
6.00E-02,7.80E+02,2.00E+01,8.00E+02
6.50E-02,8.13E+02,1.89E+01,8.32E+02
7.00E-02,8.46E+02,1.79E+01,8.64E+02
7.50E-02,8.77E+02,1.70E+01,8.94E+02
8.00E-02,9.07E+02,1.62E+01,9.23E+02
8.50E-02,9.36E+02,1.55E+01,9.51E+02
9.00E-02,9.64E+02,1.48E+01,9.79E+02
9.50E-02,9.91E+02,1.42E+01,1.01E+03
1.00E-01,1.02E+03,1.37E+01,1.03E+03
1.25E-01,1.14E+03,1.15E+01,1.15E+03
1.50E-01,1.25E+03,9.99E+00,1.26E+03
1.75E-01,1.34E+03,8.85E+00,1.35E+03
2.00E-01,1.43E+03,7.96E+00,1.44E+03
2.25E-01,1.51E+03,7.24E+00,1.51E+03
2.50E-01,1.58E+03,6.65E+00,1.58E+03
2.75E-01,1.64E+03,6.16E+00,1.64E+03
3.00E-01,1.69E+03,5.74E+00,1.70E+03
3.50E-01,1.79E+03,5.06E+00,1.79E+03
4.00E-01,1.86E+03,4.53E+00,1.87E+03
4.50E-01,1.92E+03,4.11E+00,1.92E+03
5.00E-01,1.96E+03,3.77E+00,1.96E+03
5.50E-01,1.99E+03,3.48E+00,1.99E+03
6.00E-01,2.01E+03,3.24E+00,2.01E+03
6.50E-01,2.02E+03,3.03E+00,2.02E+03
7.00E-01,2.02E+03,2.84E+00,2.02E+03
7.50E-01,2.01E+03,2.68E+00,2.02E+03
8.00E-01,2.00E+03,2.54E+00,2.01E+03
8.50E-01,1.99E+03,2.41E+00,1.99E+03
9.00E-01,1.97E+03,2.30E+00,1.97E+03
9.50E-01,1.95E+03,2.20E+00,1.95E+03
1.00E+00,1.92E+03,2.10E+00,1.92E+03
1.25E+00,1.77E+03,1.74E+00,1.78E+03
1.50E+00,1.63E+03,1.49E+00,1.63E+03
1.75E+00,1.49E+03,1.30E+00,1.50E+03
2.00E+00,1.38E+03,1.16E+00,1.38E+03
2.25E+00,1.29E+03,1.05E+00,1.29E+03
2.50E+00,1.21E+03,9.56E-01,1.21E+03
2.75E+00,1.13E+03,8.80E-01,1.13E+03
3.00E+00,1.07E+03,8.16E-01,1.07E+03
3.50E+00,9.69E+02,7.13E-01,9.69E+02
4.00E+00,8.86E+02,6.34E-01,8.87E+02
4.50E+00,8.18E+02,5.72E-01,8.19E+02
5.00E+00,7.61E+02,5.21E-01,7.61E+02
5.50E+00,7.12E+02,4.79E-01,7.12E+02
6.00E+00,6.70E+02,4.44E-01,6.70E+02
6.50E+00,6.33E+02,4.13E-01,6.33E+02
7.00E+00,6.00E+02,3.87E-01,6.01E+02
7.50E+00,5.71E+02,3.64E-01,5.72E+02
8.00E+00,5.45E+02,3.44E-01,5.46E+02
8.50E+00,5.22E+02,3.26E-01,5.22E+02
9.00E+00,5.01E+02,3.10E-01,5.01E+02
9.50E+00,4.81E+02,2.95E-01,4.82E+02
1.00E+01,4.63E+02,2.82E-01,4.64E+02
1.25E+01,3.93E+02,2.31E-01,3.93E+02
1.50E+01,3.42E+02,1.96E-01,3.43E+02
1.75E+01,3.04E+02,1.71E-01,3.05E+02
2.00E+01,2.75E+02,1.51E-01,2.75E+02
2.50E+01,2.31E+02,1.23E-01,2.31E+02
2.75E+01,2.14E+02,1.13E-01,2.14E+02
3.00E+01,2.00E+02,1.05E-01,2.00E+02
3.50E+01,1.77E+02,9.07E-02,1.77E+02
4.00E+01,1.59E+02,8.03E-02,1.59E+02
4.50E+01,1.45E+02,7.20E-02,1.45E+02
5.00E+01,1.33E+02,6.53E-02,1.33E+02
5.50E+01,1.23E+02,5.98E-02,1.23E+02
6.00E+01,1.15E+02,5.52E-02,1.15E+02
6.50E+01,1.08E+02,5.12E-02,1.08E+02
7.00E+01,1.02E+02,4.78E-02,1.02E+02
7.50E+01,9.61E+01,4.48E-02,9.61E+01
8.00E+01,9.12E+01,4.22E-02,9.12E+01
8.50E+01,8.68E+01,3.98E-02,8.69E+01
9.00E+01,8.29E+01,3.77E-02,8.30E+01
9.50E+01,7.94E+01,3.59E-02,7.94E+01
1.00E+02,7.61E+01,3.42E-02,7.62E+01
1.25E+02,6.36E+01,2.77E-02,6.36E+01
1.50E+02,5.49E+01,2.32E-02,5.50E+01
1.75E+02,4.86E+01,2.00E-02,4.86E+01
2.00E+02,4.37E+01,1.76E-02,4.37E+01
2.25E+02,3.98E+01,1.57E-02,3.98E+01
2.50E+02,3.67E+01,1.42E-02,3.67E+01
2.75E+02,3.41E+01,1.30E-02,3.41E+01
3.00E+02,3.18E+01,1.19E-02,3.19E+01
