KE,Electron Stp. Pow.,Nuclear Stp. Pow,Total Stp. Pow
0.018,0.691,0.0685,653.6
0.02,0.73,0.0638,682.84
0.0225,0.774,0.0589,716.38
0.025,0.816,0.0548,749.06
0.0275,0.856,0.0513,780.02
0.03,0.893,0.0482,809.26
0.0325,0.928,0.0456,837.64
0.035,0.962,0.0432,868.6
0.0375,0.993,0.0411,885.8
0.04,1.02,0.0392,911.6
0.045,1.08,0.036,963.2
0.05,1.13,0.0333,997.6
0.055,1.17,0.031,1032
0.06,1.22,0.0291,1075
0.065,1.26,0.0274,1109.4
0.07,1.3,0.0259,1143.8
0.08,1.38,0.0234,1204
0.09,1.45,0.0213,1264.2
0.1,1.52,0.0196,1324.4
0.11,1.59,0.0182,1384.6
0.12,1.65,0.017,1436.2
0.13,1.71,0.016,1487.8
0.14,1.77,0.0151,1539.4
0.15,1.82,0.0143,1573.8
0.16,1.87,0.0136,1616.8
0.17,1.92,0.0129,1659.8
0.18,1.97,0.0123,1702.8
0.2,2.06,0.0113,1780.2
0.225,2.15,0.0103,1857.6
0.25,2.24,0.00945,1935
0.275,2.31,0.00874,1995.2
0.3,2.37,0.00814,2046.8
0.325,2.43,0.00762,2098.4
0.35,2.47,0.00716,2132.8
0.375,2.51,0.00677,2167.2
0.4,2.54,0.00641,2193
0.45,2.59,0.00581,2236
0.5,2.62,0.00532,2261.8
0.55,2.63,0.00492,2261.8
0.6,2.62,0.00457,2253.2
0.65,2.61,0.00427,2244.6
0.7,2.59,0.00401,2227.4
0.8,2.54,0.00358,2184.4
0.9,2.47,0.00324,2124.2
1,2.4,0.00296,2064
1.1,2.32,0.00273,1995.2
1.2,2.25,0.00253,1935
1.3,2.18,0.00237,1874.8
1.4,2.11,0.00222,1814.6
1.5,2.05,0.00209,1763
1.6,1.99,0.00198,1711.4
1.7,1.93,0.00188,1659.8
1.8,1.87,0.00179,1608.2
2,1.77,0.00163,1522.2
2.25,1.66,0.00147,1427.6
2.5,1.56,0.00134,1341.6
2.75,1.47,0.00124,1264.2
3,1.4,0.00115,1204
3.25,1.33,0.00107,1143.8
3.5,1.26,0.001,1083.6
3.75,1.21,0.000942,1040.6
4,1.15,0.00089,989
4.5,1.06,0.000802,911.6
5,0.985,0.000731,847.96
5.5,0.918,0.000672,790.34
6,0.861,0.000622,741.32
6.5,0.81,0.00058,697.46
7,0.766,0.000543,659.62
8,0.69,0.000482,593.4
9,0.642,0.000434,552.12
10,0.593,0.000395,509.98
11,0.55,0.000363,473
12,0.513,0.000336,441.18
13,0.481,0.000313,413.66
14,0.454,0.000293,390.44
15,0.43,0.000275,369.8
16,0.408,0.00026,350.88
17,0.389,0.000246,334.54
18,0.371,0.000234,319.06
20,0.341,0.000213,293.26
