Kinetic Energy (MeV),Electron Stp. Pow. (MeV cm2/g),Nuclear Stp. Pow. (MeV cm2/g),Total Stp. Pow. (MeV cm2/g)
1.00E-03,1.94E+02,2.89E+02,4.83E+02
1.50E-03,2.33E+02,2.60E+02,4.93E+02
2.00E-03,2.66E+02,2.38E+02,5.03E+02
2.50E-03,2.94E+02,2.19E+02,5.14E+02
3.00E-03,3.20E+02,2.04E+02,5.24E+02
4.00E-03,3.66E+02,1.80E+02,5.46E+02
5.00E-03,4.06E+02,1.62E+02,5.68E+02
6.00E-03,4.42E+02,1.47E+02,5.89E+02
7.00E-03,4.75E+02,1.36E+02,6.11E+02
8.00E-03,5.06E+02,1.26E+02,6.32E+02
9.00E-03,5.35E+02,1.18E+02,6.52E+02
1.00E-02,5.62E+02,1.11E+02,6.73E+02
1.25E-02,6.24E+02,9.68E+01,7.21E+02
1.50E-02,6.81E+02,8.63E+01,7.67E+02
1.75E-02,7.32E+02,7.80E+01,8.10E+02
2.00E-02,7.80E+02,7.14E+01,8.52E+02
2.25E-02,8.26E+02,6.59E+01,8.91E+02
2.50E-02,8.68E+02,6.13E+01,9.29E+02
2.75E-02,9.09E+02,5.73E+01,9.66E+02
3.00E-02,9.47E+02,5.39E+01,1.00E+03
3.50E-02,1.02E+03,4.83E+01,1.07E+03
4.00E-02,1.09E+03,4.38E+01,1.13E+03
4.50E-02,1.15E+03,4.02E+01,1.19E+03
5.00E-02,1.21E+03,3.72E+01,1.25E+03
5.50E-02,1.27E+03,3.46E+01,1.30E+03
6.00E-02,1.32E+03,3.24E+01,1.35E+03
6.50E-02,1.37E+03,3.05E+01,1.40E+03
7.00E-02,1.42E+03,2.88E+01,1.45E+03
7.50E-02,1.47E+03,2.73E+01,1.49E+03
8.00E-02,1.51E+03,2.60E+01,1.54E+03
8.50E-02,1.55E+03,2.48E+01,1.58E+03
9.00E-02,1.60E+03,2.37E+01,1.62E+03
9.50E-02,1.64E+03,2.27E+01,1.66E+03
1.00E-01,1.68E+03,2.18E+01,1.70E+03
1.25E-01,1.85E+03,1.83E+01,1.87E+03
1.50E-01,2.00E+03,1.58E+01,2.02E+03
1.75E-01,2.14E+03,1.39E+01,2.15E+03
2.00E-01,2.25E+03,1.25E+01,2.27E+03
2.25E-01,2.35E+03,1.14E+01,2.37E+03
2.50E-01,2.44E+03,1.04E+01,2.45E+03
2.75E-01,2.52E+03,9.62E+00,2.53E+03
3.00E-01,2.58E+03,8.95E+00,2.59E+03
